genotype	unit	min_distance_pct	distinguishable_rate
GII.4	1995	5.1852	0.8125
GII.4	2002	4.0111	0.9217687074829932
GII.4	2002CN	4.0111	0.8798076923076923
GII.4	2003	7.4411	0.9347826086956522
GII.4	2004	2.6578	0.9353932584269663
GII.4	2005	6.6049	0.9865319865319865
GII.4	2006a	2.6578	0.7385892116182573
GII.4	2006b	5.3306	1.0
GII.4	2007Ca	8.8272	0.9819587628865979
GII.4	2007EU	3.7861	0.8727735368956743
GII.4	2007JP	6.6058	0.9845360824742269
GII.4	2009	4.6730	0.9448818897637795
GII.4	2012	5.8644	0.9006734006734006
GII.4	2016	8.9957	0.9894736842105263
GII.4	2018AG	7.9482	0.7966101694915254
GII.4	2018WI	6.9500	0.9778830963665087
GII.4	2019	6.9660	0.957471264367816
GII.4	2023SF	5.8644	0.9803370786516854
GII.4	Brist	6.8070	0.9977011494252873
GII.4	Camb	6.6667	0.9156976744186046
GII.17	A	15.8485	1.0
GII.17	B	16.4478	0.6358201195736938
GII.17	Kawasaki_308	1.9483	0.8795084375102001
GII.17	Kawasaki_323	1.9483	0.7716943724264145
GII.17	Romania	4.6823	0.9881037842272588
