category	unit	distinguishable_rate
GII.4_between	1995	0.8125
GII.4_between	2002	0.9217687074829932
GII.4_between	2002CN	0.8798076923076923
GII.4_between	2003	0.9347826086956522
GII.4_between	2004	0.9353932584269663
GII.4_between	2005	0.9865319865319865
GII.4_between	2006a	0.7385892116182573
GII.4_between	2006b	1.0
GII.4_between	2007Ca	0.9819587628865979
GII.4_between	2007EU	0.8727735368956743
GII.4_between	2007JP	0.9845360824742269
GII.4_between	2009	0.9448818897637795
GII.4_between	2012	0.9006734006734006
GII.4_between	2016	0.9894736842105263
GII.4_between	2018AG	0.7966101694915254
GII.4_between	2018WI	0.9778830963665087
GII.4_between	2019	0.957471264367816
GII.4_between	2023SF	0.9803370786516854
GII.4_between	Brist	0.9977011494252873
GII.4_between	Camb	0.9156976744186046
GII.4_within	1995|AF080558	1.0
GII.4_within	1995|AJ004864	1.0
GII.4_within	2002CN|DQ364459	0.9495798319327731
GII.4_within	2002CN|EU310927	0.9797979797979798
GII.4_within	2002|AY485642	0.7044673539518901
GII.4_within	2002|AY502023	0.696969696969697
GII.4_within	2003|AB294779	0.9764705882352941
GII.4_within	2003|AB303929	0.9811320754716981
GII.4_within	2004|AY883096	0.7796610169491526
GII.4_within	2004|DQ078814	0.936026936026936
GII.4_within	2005|AB220921	0.8686868686868687
GII.4_within	2005|DQ369797	0.8686868686868687
GII.4_within	2006a|EF126963	0.7802197802197802
GII.4_within	2006a|EF126964	0.7692307692307693
GII.4_within	2006a|GQ849126	0.9491525423728814
GII.4_within	2006b|EF126965	1.0
GII.4_within	2007Ca|EU876888	0.9010989010989011
GII.4_within	2007Ca|GQ845368	0.9696969696969697
GII.4_within	2007EU|GU270580	0.9791666666666666
GII.4_within	2007EU|HQ009513	0.9629629629629629
GII.4_within	2007JP|AB434770	0.7032967032967034
GII.4_within	2007JP|GQ845369	0.9158249158249159
GII.4_within	2009|GU445325	0.6801346801346801
GII.4_within	2009|JN400623	0.8101694915254237
GII.4_within	2009|JN595867	0.8047138047138047
GII.4_within	2012|JX459907	0.8821548821548821
GII.4_within	2012|JX459908	0.8686868686868687
GII.4_within	2016|LC153121	0.8681318681318682
GII.4_within	2016|LC175468	0.9550173010380623
GII.4_within	2018AG|PQ213433	1.0
GII.4_within	2018AG|PZ823419	1.0
GII.4_within	2018WI|PQ218944	0.9830508474576272
GII.4_within	2018WI|PV223444	0.6895306859205776
GII.4_within	2018WI|PV275065	0.7138047138047138
GII.4_within	2019|MN400355	0.5945017182130584
GII.4_within	2019|MT735394	0.5979381443298969
GII.4_within	2019|MT742777	0.9861111111111112
GII.4_within	2023SF|OR262325	0.9966329966329966
GII.4_within	2023SF|OR262342	1.0
GII.4_within	Brist|X76716	0.3611111111111111
GII.4_within	Brist|X86557	0.6838487972508591
GII.4_within	Camb|AF145896	0.993127147766323
GII.4_within	Camb|AY030098	1.0
GII.17_between	A	1.0
GII.17_between	B	0.6358201195736938
GII.17_between	Kawasaki_308	0.8795084375102001
GII.17_between	Kawasaki_323	0.7716943724264145
GII.17_between	Romania	0.9881037842272588
GII.17_within	KJ196286	1.0
GII.17_within	KP998539	0.06756756756756757
GII.17_within	KR020503	0.14675767918088736
GII.17_within	KR083017	0.017006802721088437
GII.17_within	KR154230	0.3423728813559322
GII.17_within	KR154231	0.3152542372881356
GII.17_within	KT253245	0.1554054054054054
GII.17_within	KT326180	0.06143344709897611
GII.17_within	KT326181	0.391156462585034
GII.17_within	KT326182	0.3003412969283277
GII.17_within	KT380915	0.07094594594594594
GII.17_within	KT780394	0.08813559322033898
GII.17_within	KT780395	0.1423728813559322
GII.17_within	KT780396	0.10847457627118644
GII.17_within	KT780397	0.1423728813559322
GII.17_within	KT780398	0.07457627118644068
GII.17_within	KT780399	0.08135593220338982
GII.17_within	KT780400	0.13898305084745763
GII.17_within	KT780401	0.0576271186440678
GII.17_within	KT780402	0.061016949152542375
GII.17_within	KT780403	0.04067796610169491
GII.17_within	KT780404	0.003389830508474576
GII.17_within	KT780405	0.13220338983050847
GII.17_within	KT780406	0.17966101694915254
GII.17_within	KT780407	0.061016949152542375
GII.17_within	KT780408	0.18983050847457628
GII.17_within	KT780409	0.06779661016949153
GII.17_within	KT780410	0.1152542372881356
GII.17_within	KT780411	0.13559322033898305
GII.17_within	KT780412	0.14576271186440679
GII.17_within	KT780413	0.25084745762711863
GII.17_within	KT780414	0.04067796610169491
GII.17_within	KT780415	0.0576271186440678
GII.17_within	KT780416	0.16271186440677965
GII.17_within	KT970369	0.0798611111111111
GII.17_within	KT970370	0.1054421768707483
GII.17_within	KT970371	0.031914893617021274
GII.17_within	KT970372	0.0
GII.17_within	KT970373	0.09523809523809523
GII.17_within	KT970374	0.12585034013605442
GII.17_within	KT970375	0.2361111111111111
GII.17_within	KT970376	0.06462585034013606
GII.17_within	KT970377	0.06802721088435375
GII.17_within	KT992785	0.02040816326530612
GII.17_within	KT992786	0.0
GII.17_within	KT992787	0.0
GII.17_within	KT992789	0.0
GII.17_within	KT992790	0.0033783783783783786
GII.17_within	KU557783	0.060810810810810814
GII.17_within	KU557784	0.013513513513513514
GII.17_within	KU557785	0.05782312925170068
GII.17_within	KU557786	0.10309278350515463
GII.17_within	KU557787	0.006872852233676976
GII.17_within	KU557788	0.1672473867595819
GII.17_within	KU557789	0.18072289156626506
GII.17_within	KU557790	0.09152542372881356
GII.17_within	KU561248	0.023728813559322035
GII.17_within	KU561249	0.11864406779661017
GII.17_within	KU561250	0.16319444444444445
GII.17_within	KU561251	0.3055555555555556
GII.17_within	KU561252	0.05405405405405406
GII.17_within	KU561253	0.06418918918918919
GII.17_within	KU561255	0.0
GII.17_within	KU561256	0.0
GII.17_within	KX356908	0.47297297297297297
GII.17_within	KY392867	0.15862068965517243
GII.17_within	KY392868	0.08710801393728224
GII.17_within	KY424350	0.020833333333333332
GII.17_within	KY905330	0.1326530612244898
GII.17_within	KY905332	0.5679442508710801
GII.17_within	LC043139	0.0
GII.17_within	LC043167	0.17482517482517482
GII.17_within	LC043168	0.020905923344947737
GII.17_within	LC043305	0.041811846689895474
GII.17_within	LC122831	1.0
GII.17_within	LC258403	0.061855670103092786
GII.17_within	LC369214	0.0
GII.17_within	LC369215	0.02027027027027027
GII.17_within	LC369216	0.0
GII.17_within	LC369217	0.0
GII.17_within	LC369218	0.0
GII.17_within	LC369219	0.02364864864864865
GII.17_within	LC369220	0.0
GII.17_within	LC369221	0.0576271186440678
GII.17_within	LC369222	0.0
GII.17_within	LC369224	0.0
GII.17_within	LC369225	0.0847457627118644
GII.17_within	LC369227	0.04067796610169491
GII.17_within	LC369228	0.020338983050847456
GII.17_within	LC369229	0.020338983050847456
GII.17_within	LC369230	0.0
GII.17_within	LC369231	0.10847457627118644
GII.17_within	LC369232	0.04067796610169491
GII.17_within	LC369233	0.0
GII.17_within	LC369234	0.0
GII.17_within	LC369235	0.0
GII.17_within	LC369236	0.04054054054054054
GII.17_within	LC369237	0.0
GII.17_within	LC369238	0.09121621621621621
GII.17_within	LC369239	0.020338983050847456
GII.17_within	LC369240	0.01694915254237288
GII.17_within	LC369241	0.02702702702702703
GII.17_within	LC369242	0.10135135135135136
GII.17_within	LC369243	0.020338983050847456
GII.17_within	LC369244	0.08783783783783784
GII.17_within	LC369245	0.08445945945945946
GII.17_within	LC369246	0.488135593220339
GII.17_within	LC369247	0.05084745762711865
GII.17_within	LC369248	0.020338983050847456
GII.17_within	LC369249	0.0
GII.17_within	LC369251	0.41114982578397213
GII.17_within	LC369252	0.030508474576271188
GII.17_within	LC369253	0.05084745762711865
GII.17_within	LC369254	0.02364864864864865
GII.17_within	LC369255	0.0
GII.17_within	LC369256	0.0711864406779661
GII.17_within	LC369257	0.25
GII.17_within	LC369258	0.08191126279863481
GII.17_within	LC597112	0.6790540540540541
GII.17_within	LC644992	0.20350877192982456
GII.17_within	LC848162	0.3344594594594595
GII.17_within	LC848165	0.4482758620689655
GII.17_within	LC848172	0.3925925925925926
GII.17_within	MF421538	0.12837837837837837
GII.17_within	MF421539	0.016891891891891893
GII.17_within	MF421540	0.02027027027027027
GII.17_within	MF421541	0.02027027027027027
GII.17_within	MF421542	0.033783783783783786
GII.17_within	MF918359	0.23310810810810811
GII.17_within	MG692610	0.057432432432432436
GII.17_within	MH218689	0.9425675675675675
GII.17_within	MH608288	0.02040816326530612
GII.17_within	MH638230	0.0
GII.17_within	MH746922	0.23469387755102042
GII.17_within	MH746925	0.09523809523809523
GII.17_within	MH747479	0.30612244897959184
GII.17_within	MH747480	0.027210884353741496
GII.17_within	MH747481	0.30952380952380953
GII.17_within	MH747482	0.041666666666666664
GII.17_within	MH890538	0.003401360544217687
GII.17_within	MH890539	0.03125
GII.17_within	MH997861	0.013559322033898305
GII.17_within	MK282256	0.22916666666666666
GII.17_within	MK282257	0.2222222222222222
GII.17_within	MK282258	0.11458333333333333
GII.17_within	MK396775	0.2374429223744292
GII.17_within	MK648241	0.020618556701030927
GII.17_within	MK648242	0.020618556701030927
GII.17_within	MK789431	0.17627118644067796
GII.17_within	MK789432	0.3108108108108108
GII.17_within	MK789433	0.3016949152542373
GII.17_within	MK907790	0.8165467625899281
GII.17_within	MK907791	0.050980392156862744
GII.17_within	MK907800	0.09830508474576272
GII.17_within	MK907801	0.07432432432432433
GII.17_within	MN394546	0.25773195876288657
GII.17_within	MN853414	0.09121621621621621
GII.17_within	MN960578	0.013605442176870748
GII.17_within	MN996296	0.0
GII.17_within	MN996300	0.03793103448275862
GII.17_within	MT158860	0.02040816326530612
GII.17_within	MT158861	0.02040816326530612
GII.17_within	MT233102	0.06666666666666667
GII.17_within	MT233268	0.017482517482517484
GII.17_within	MT233269	0.021660649819494584
GII.17_within	MT238663	0.0
GII.17_within	MT238664	0.0
GII.17_within	MT238665	0.14915254237288136
GII.17_within	MT238669	0.02040816326530612
GII.17_within	MT344181	0.05084745762711865
GII.17_within	MT344182	0.06440677966101695
GII.17_within	MT371769	0.08558558558558559
GII.17_within	MT729791	0.02702702702702703
GII.17_within	MW305512	0.532608695652174
GII.17_within	MW305517	0.8442028985507246
GII.17_within	MW305604	0.5289855072463768
GII.17_within	MW305609	0.10507246376811594
GII.17_within	MW305610	0.09057971014492754
GII.17_within	MW305625	1.0
GII.17_within	MW305654	0.0
GII.17_within	MW305660	0.0
GII.17_within	MW661253	0.8362369337979094
GII.17_within	MZ291623	0.02040816326530612
GII.17_within	MZ291631	0.0
GII.17_within	MZ291632	0.06418918918918919
GII.17_within	MZ478134	0.4863013698630137
GII.17_within	NC_039475	0.02027027027027027
GII.17_within	OM480530	0.22525597269624573
GII.17_within	OP205532	0.0034965034965034965
GII.17_within	OP205533	0.0
GII.17_within	OP205535	0.0
