group	accession	genotype	sequence_length	protein	start	end	strand	source
GI	MH638228	GI.1	7598	VP1	5348	6940	+	genbank
GI	MH638228	GI.1	7598	VP2	6940	7578	+	genbank
GI	MH638228	GI.1	7598	ORF1	1	5364	+	genbank
GI	MH638228	GI.1	7598	p48	1	1395	+	orf1_relative
GI	MH638228	GI.1	7598	NTPase	1396	2199	+	orf1_relative
GI	MH638228	GI.1	7598	p22	2200	2628	+	orf1_relative
GI	MH638228	GI.1	7598	VPg	2629	3057	+	orf1_relative
GI	MH638228	GI.1	7598	3CLpro	3058	3648	+	orf1_relative
GI	MH638228	GI.1	7598	RdRp	4585	5346	+	inferred_from_region_blast
GI	MH638229	GI.1	7591	VP1	5340	6932	+	genbank
GI	MH638229	GI.1	7591	VP2	6932	7570	+	genbank
GI	MH638229	GI.1	7591	ORF1	1	5356	+	genbank
GI	MH638229	GI.1	7591	p48	1	1393	+	orf1_relative
GI	MH638229	GI.1	7591	NTPase	1394	2196	+	orf1_relative
GI	MH638229	GI.1	7591	p22	2197	2624	+	orf1_relative
GI	MH638229	GI.1	7591	VPg	2625	3053	+	orf1_relative
GI	MH638229	GI.1	7591	3CLpro	3054	3642	+	orf1_relative
GI	MH638229	GI.1	7591	RdRp	4577	5338	+	inferred_from_region_blast
GI	MT008453	GI.1	7454	VP1	5201	6793	+	genbank
GI	MT008453	GI.1	7454	VP2	6793	7431	+	genbank
GI	MT008453	GI.1	7454	ORF1	1	5217	+	genbank
GI	MT008453	GI.1	7454	p48	1	1356	+	orf1_relative
GI	MT008453	GI.1	7454	NTPase	1357	2139	+	orf1_relative
GI	MT008453	GI.1	7454	p22	2140	2556	+	orf1_relative
GI	MT008453	GI.1	7454	VPg	2557	2974	+	orf1_relative
GI	MT008453	GI.1	7454	3CLpro	2975	3548	+	orf1_relative
GI	MT008453	GI.1	7454	RdRp	4438	5199	+	inferred_from_region_blast
GI	MT357991	GI.1	7654	VP1	5358	6950	+	genbank
GI	MT357991	GI.1	7654	VP2	6950	7588	+	genbank
GI	MT357991	GI.1	7654	ORF1	5	5374	+	genbank
GI	MT357991	GI.1	7654	p48	5	1400	+	orf1_relative
GI	MT357991	GI.1	7654	NTPase	1401	2206	+	orf1_relative
GI	MT357991	GI.1	7654	p22	2207	2635	+	orf1_relative
GI	MT357991	GI.1	7654	VPg	2636	3065	+	orf1_relative
GI	MT357991	GI.1	7654	3CLpro	3066	3656	+	orf1_relative
GI	MT357991	GI.1	7654	RdRp	4595	5356	+	inferred_from_region_blast
GI	MT357992	GI.1	7654	VP1	5358	6950	+	genbank
GI	MT357992	GI.1	7654	VP2	6950	7588	+	genbank
GI	MT357992	GI.1	7654	ORF1	5	5374	+	genbank
GI	MT357992	GI.1	7654	p48	5	1400	+	orf1_relative
GI	MT357992	GI.1	7654	NTPase	1401	2206	+	orf1_relative
GI	MT357992	GI.1	7654	p22	2207	2635	+	orf1_relative
GI	MT357992	GI.1	7654	VPg	2636	3065	+	orf1_relative
GI	MT357992	GI.1	7654	3CLpro	3066	3656	+	orf1_relative
GI	MT357992	GI.1	7654	RdRp	4595	5356	+	inferred_from_region_blast
GI	MT357993	GI.1	7654	VP1	5358	6950	+	genbank
GI	MT357993	GI.1	7654	VP2	6950	7588	+	genbank
GI	MT357993	GI.1	7654	ORF1	5	5374	+	genbank
GI	MT357993	GI.1	7654	p48	5	1400	+	orf1_relative
GI	MT357993	GI.1	7654	NTPase	1401	2206	+	orf1_relative
GI	MT357993	GI.1	7654	p22	2207	2635	+	orf1_relative
GI	MT357993	GI.1	7654	VPg	2636	3065	+	orf1_relative
GI	MT357993	GI.1	7654	3CLpro	3066	3656	+	orf1_relative
GI	MT357993	GI.1	7654	RdRp	4595	5356	+	inferred_from_region_blast
GI	MZ220330	GI.1	7659	VP1	5354	6946	+	genbank
GI	MZ220330	GI.1	7659	VP2	6946	7584	+	genbank
GI	MZ220330	GI.1	7659	ORF1	1	5370	+	genbank
GI	MZ220330	GI.1	7659	p48	1	1396	+	orf1_relative
GI	MZ220330	GI.1	7659	NTPase	1397	2202	+	orf1_relative
GI	MZ220330	GI.1	7659	p22	2203	2631	+	orf1_relative
GI	MZ220330	GI.1	7659	VPg	2632	3061	+	orf1_relative
GI	MZ220330	GI.1	7659	3CLpro	3062	3652	+	orf1_relative
GI	MZ220330	GI.1	7659	RdRp	4591	5351	+	inferred_from_region_blast
GI	MZ220331	GI.1	7663	VP1	5358	6950	+	genbank
GI	MZ220331	GI.1	7663	VP2	6950	7588	+	genbank
GI	MZ220331	GI.1	7663	ORF1	5	5374	+	genbank
GI	MZ220331	GI.1	7663	p48	5	1400	+	orf1_relative
GI	MZ220331	GI.1	7663	NTPase	1401	2206	+	orf1_relative
GI	MZ220331	GI.1	7663	p22	2207	2635	+	orf1_relative
GI	MZ220331	GI.1	7663	VPg	2636	3065	+	orf1_relative
GI	MZ220331	GI.1	7663	3CLpro	3066	3656	+	orf1_relative
GI	MZ220331	GI.1	7663	RdRp	4595	5355	+	inferred_from_region_blast
GI	MZ462933	GI.1	7527	VP1	5352	6944	+	genbank
GI	MZ462933	GI.1	7527	VP2	6944	7527	+	genbank
GI	MZ462933	GI.1	7527	ORF1	1	5368	+	genbank
GI	MZ462933	GI.1	7527	p48	1	1396	+	orf1_relative
GI	MZ462933	GI.1	7527	NTPase	1397	2201	+	orf1_relative
GI	MZ462933	GI.1	7527	p22	2202	2630	+	orf1_relative
GI	MZ462933	GI.1	7527	VPg	2631	3060	+	orf1_relative
GI	MZ462933	GI.1	7527	3CLpro	3061	3650	+	orf1_relative
GI	MZ462933	GI.1	7527	RdRp	4589	5350	+	inferred_from_region_blast
GI	LC646339	GI.6	7590	VP1	5339	6961	+	genbank
GI	LC646339	GI.6	7590	VP2	6961	7590	+	genbank
GI	LC646339	GI.6	7590	ORF1	1	5355	+	genbank
GI	LC646339	GI.6	7590	p48	1	1392	+	orf1_relative
GI	LC646339	GI.6	7590	NTPase	1393	2196	+	orf1_relative
GI	LC646339	GI.6	7590	p22	2197	2624	+	orf1_relative
GI	LC646339	GI.6	7590	VPg	2625	3052	+	orf1_relative
GI	LC646339	GI.6	7590	3CLpro	3053	3641	+	orf1_relative
GI	LC646339	GI.6	7590	RdRp	4575	5337	+	inferred_from_region_blast
GI	LC726060	GI.6	7667	VP1	5338	6960	+	genbank
GI	LC726060	GI.6	7667	VP2	6960	7589	+	genbank
GI	LC726060	GI.6	7667	ORF1	1	5354	+	genbank
GI	LC726060	GI.6	7667	p48	1	1392	+	orf1_relative
